h2,h3,href,text,url_name,download
Corrections,Alabama,https://www.justice.gov/media/784636/dl?inline,Statement of Interest (2015),corrections_alabama_statement_of_interest_2015,Media
Corrections,Arkansas,https://www.justice.gov/crt/about/spl/documents/sebastian_findlet_5-9-06.pdf,Findings Letter (2006),corrections_arkansas_findings_letter_2006,PDF
Corrections,Arkansas,https://www.justice.gov/crt/about/spl/documents/sebastian_moa.pdf,MOA (2008),corrections_arkansas_moa_2008,PDF
Corrections,California,https://www.justice.gov/crt/case-document/file/1388891/download,Findings Report (2021),corrections_california_findings_report_2021,Case Document
Corrections,California,https://www.justice.gov/media/1137406/dl?inline,Summary of Findings (2021),corrections_california_summary_of_findings_2021,Media
Corrections,California,https://www.justice.gov/crt/about/spl/documents/coleman_soi_8-9-13.pdf,Statement of Interest (2013),corrections_california_statement_of_interest_2013,PDF
Corrections,California,https://www.justice.gov/crt/about/spl/documents/coleman_us-resp_11-12-13.pdf,Response to Defendants' Motion to Exclude SOI (2013),corrections_california_response_to_defendants_motion_to_exclude_soi_2013,PDF
Corrections,California,https://www.justice.gov/crt/about/spl/documents/coleman_order_11-15-13.pdf,Order Denying Motion to Exclude SOI (2013),corrections_california_order_denying_motion_to_exclude_soi_2013,PDF
Corrections,California,https://www.justice.gov/crt/about/spl/documents/lacountyjail_mh.php,   MOA (2002),corrections_california_moa_2002,NA
Corrections,California,https://www.justice.gov/crt/about/spl/documents/lajails_compltr_6-4-14.pdf,Compliance Letter (2014),corrections_california_compliance_letter_2014,PDF
Corrections,California,https://www.justice.gov/crt/case-document/united-states-v-county-los-angeles-and-los-angeles-county-sheriff-complaint,Complaint (2015),corrections_california_complaint_2015,Case Document
Corrections,California,https://www.justice.gov/crt/case-document/united-states-v-county-los-angeles-and-los-angeles-county-sheriff-settlement,Settlement Agreement (2015),corrections_california_settlement_agreement_2015,Case Document
Corrections,California,https://www.justice.gov/crt/about/spl/documents/mitchell_soi_10-18-13.pdf,Statement of Interest (2013),corrections_california_statement_of_interest_2013_2,PDF
Corrections,California,https://www.justice.gov/crt/about/spl/documents/ocj_investletter_3-4-14.pdf,Investigatory Results Letter (2014),corrections_california_investigatory_results_letter_2014,PDF
Corrections,California,https://www.justice.gov/media/1164191/dl?inline,Findings Letter (2021),corrections_california_findings_letter_2021,Media
Corrections,California,https://www.justice.gov/crt/media/1384631/dl?inline,Settlement Agreement (2025),corrections_california_settlement_agreement_2025,Media
Corrections,Florida,https://www.justice.gov/crt/case-document/file/1347766/download,CRIPA Notice (2020),corrections_florida_cripa_notice_2020,Case Document
Corrections,Florida,https://www.justice.gov/media/1111601/dl?inline,CRIPA Notice Cover Letter (2020),corrections_florida_cripa_notice_cover_letter_2020,Media
Corrections,Florida,https://www.justice.gov/crt/about/spl/documents/Miami-Dade_findlet_8-24-11.pdf,Findings Letter (2011),corrections_florida_findings_letter_2011,PDF
Corrections,Florida,https://www.justice.gov/crt/about/spl/documents/miami-dade_complaint_5-1-13.pdf,Complaint (2013),corrections_florida_complaint_2013,PDF
Corrections,Florida,https://www.justice.gov/crt/about/spl/documents/miami-dade_agreement_5-1-13.pdf,Consent Agreement (2013),corrections_florida_consent_agreement_2013,PDF
Corrections,Florida,https://www.justice.gov/media/1163571/dl?inline,Memorandum of Agreement (2013),corrections_florida_memorandum_of_agreement_2013,Media
Corrections,Georgia,https://www.justice.gov/media/1376991/dl,Notice Letter (2024),corrections_georgia_notice_letter_2024,Media
Corrections,Georgia,https://www.justice.gov/media/1377011/dl,Findings Report (2024),corrections_georgia_findings_report_2024,Media
Corrections,Georgia,https://www.justice.gov/media/1377016/dl,Findings Report One-Pager (2024),corrections_georgia_findings_report_one_pager_2024,Media
Corrections,Georgia,https://www.justice.gov/media/1382786/dl,Complaint (2025),corrections_georgia_complaint_2025,Media
Corrections,Georgia,https://www.justice.gov/media/1382776/dl,Consent Decree (2025),corrections_georgia_consent_decree_2025,Media
Corrections,Georgia,https://www.justice.gov/media/1371566/dl,Cover Letter (2024),corrections_georgia_cover_letter_2024,Media
Corrections,Georgia,https://www.justice.gov/crt/media/1372751/dl?inline,Cover Letter 2024 (Spanish),corrections_georgia_cover_letter_2024_spanish,Media
Corrections,Georgia,https://www.justice.gov/media/1371406/dl,Findings Report (2024),corrections_georgia_findings_report_2024_2,Media
Corrections,Georgia,https://www.justice.gov/media/1377046/dl,Findings Report (2024) (Spanish),corrections_georgia_findings_report_2024_spanish,Media
Corrections,Georgia,https://www.justice.gov/media/1371441/dl,Findings Report Executive Summary (2024),corrections_georgia_findings_report_executive_summary_2024,Media
Corrections,Georgia,https://www.justice.gov/crt/media/1372736/dl?inline,Findings Report Executive Summary 2024 (Spanish),corrections_georgia_findings_report_executive_summary_2024_spanish,Media
Corrections,Georgia,https://www.justice.gov/media/1371456/dl,Findings Report One Pager (2024),corrections_georgia_findings_report_one_pager_2024_2,Media
Corrections,Georgia,https://www.justice.gov/media/1372746/dl,Findings Report One-Pager (2024) (Spanish),corrections_georgia_findings_report_one_pager_2024_spanish,Media
Corrections,Georgia,https://www.justice.gov/media/1373396,Press Release (Spanish),corrections_georgia_press_release_spanish,Media
Corrections,Georgia,https://www.justice.gov/crt/about/spl/documents/muscogeecomp.php,Complaint (1999),corrections_georgia_complaint_1999,NA
Corrections,Georgia,https://www.justice.gov/crt/about/spl/documents/muscogeesa.php,Settlement (1999),corrections_georgia_settlement_1999,NA
Corrections,Georgia,https://www.justice.gov/crt/about/spl/documents/muscogee_moa_1-16-15.pdf,Memorandum of Agreement (2015),corrections_georgia_memorandum_of_agreement_2015,PDF
Corrections,Georgia,https://www.justice.gov/media/1052996/dl?inline,Statement of Interest (2019),corrections_georgia_statement_of_interest_2019,Media
Corrections,Guam,https://www.justice.gov/crt/about/spl/documents/guam_settlement_5-29-91.pdf,Settlement Agreement (1991),corrections_guam_settlement_agreement_1991,PDF
Corrections,Hawaii,https://www.justice.gov/crt/about/spl/documents/oahu_center_findlet_3-14-07.pdf,Findings Letter (2007),corrections_hawaii_findings_letter_2007,PDF
Corrections,Hawaii,https://www.justice.gov/crt/about/spl/documents/OCCC_complaint_12-29-08.pdf,Complaint (2008),corrections_hawaii_complaint_2008,PDF
Corrections,Hawaii,https://www.justice.gov/crt/about/spl/documents/OCCC_settlement_12-30-08.pdf,Settlement (2008),corrections_hawaii_settlement_2008,PDF
Corrections,Illinois,https://www.justice.gov/crt/about/spl/documents/CookCountyJail_findingsletter_7-11-08.pdf,Findings Letter (2008),corrections_illinois_findings_letter_2008,PDF
Corrections,Illinois,https://www.justice.gov/crt/about/spl/documents/CookCountyJail_AgreedOrder_05-13-2010.pdf,Settlement (2010),corrections_illinois_settlement_2010,PDF
Corrections,Indiana,https://www.justice.gov/crt/about/spl/documents/Lake_County_Jail_findlet_12-07-09.pdf,Findings Letter (2009),corrections_indiana_findings_letter_2009,PDF
Corrections,Indiana,https://www.justice.gov/crt/about/spl/documents/LakeCountyJail_Complaint_12-3-10.pdf,Complaint (2010),corrections_indiana_complaint_2010,PDF
Corrections,Indiana,https://www.justice.gov/crt/about/spl/documents/lake_co_jail_settle_12-03-10.pdf,Settlement (2010),corrections_indiana_settlement_2010,PDF
Corrections,Kansas,https://www.justice.gov/crt/about/spl/documents/topeka_findings_9-6-12.pdf,Findings Letter (2012),corrections_kansas_findings_letter_2012,PDF
Corrections,Kansas,https://www.justice.gov/crt/about/spl/documents/topeka_agreement_12-22-14.pdf,Settlement Agreement (2014),corrections_kansas_settlement_agreement_2014,PDF
Corrections,Kentucky,https://www.justice.gov/crt/about/spl/documents/grant_county_findlet_5-18-05.pdf,Findings Letter (2005),corrections_kentucky_findings_letter_2005,PDF
Corrections,Kentucky,https://www.justice.gov/crt/case-document/file/1135696/download,CRIPA Notice Letter (2019),corrections_kentucky_cripa_notice_letter_2019,Case Document
Corrections,Kentucky,https://www.justice.gov/media/991026/dl?inline,Cover Letter to CRIPA Notice (2019),corrections_kentucky_cover_letter_to_cripa_notice_2019,Media
Corrections,Louisiana,https://www.justice.gov/crt/about/spl/documents/angela_soi_8-2-13.pdf,Statement of Interest (2013),corrections_louisiana_statement_of_interest_2013,PDF
Corrections,Louisiana,https://www.justice.gov/crt/case-document/hacker-v-cain-us-statement-interest,Statement of Interest (2016),corrections_louisiana_statement_of_interest_2016,Case Document
Corrections,Louisiana,https://www.justice.gov/crt/case-document/file/1563841/download,Findings Report (2023),corrections_louisiana_findings_report_2023,Case Document
Corrections,Louisiana,https://www.justice.gov/crt/case-document/file/1563911/download,Cover Letter (2023),corrections_louisiana_cover_letter_2023,Case Document
Corrections,Louisiana,https://www.justice.gov/media/1269731/dl?inline,Summary of Findings (2023),corrections_louisiana_summary_of_findings_2023,Media
Corrections,Louisiana,https://justice.gov/crt/media/1381781/dl,Complaint (2024),corrections_louisiana_complaint_2024,Media
Corrections,Louisiana,https://www.justice.gov/media/1382161/dl,Summary of Complaint (2024),corrections_louisiana_summary_of_complaint_2024,Media
Corrections,Louisiana,https://www.justice.gov/crt/about/spl/documents/parish_findlet.pdf,Findings Letter (2009),corrections_louisiana_findings_letter_2009,PDF
Corrections,Louisiana,https://www.justice.gov/crt/about/spl/documents/parish_update_4-23-12.pdf,Update to Findings Letter (2012),corrections_louisiana_update_to_findings_letter_2012,PDF
Corrections,Louisiana,https://www.justice.gov/crt/about/spl/documents/opp_consentjudg_6-6-13.pdf,"Consent Judgment (English, 2013)",corrections_louisiana_consent_judgment_english_2013,PDF
Corrections,Louisiana,https://www.justice.gov/crt/about/spl/documents/opp_agreement_span_6-6-13.pdf,"Consent Judgment (Spanish, 2013)",corrections_louisiana_consent_judgment_spanish_2013,PDF
Corrections,Louisiana,https://www.justice.gov/crt/about/spl/documents/tammany_findings_7-12-12.pdf,Findings Letter (2012),corrections_louisiana_findings_letter_2012,PDF
Corrections,Louisiana,https://www.justice.gov/crt/about/spl/documents/tammany_mou_8-15-13.pdf,Memorandum of Agreement (2013),corrections_louisiana_memorandum_of_agreement_2013,PDF
Corrections,Louisiana,https://www.justice.gov/media/1079116/dl?inline,Closing Letter (2017),corrections_louisiana_closing_letter_2017,Media
Corrections,Massachusetts,https://www.justice.gov/crt/case-document/file/1337856/download,CRIPA Notice (2020),corrections_massachusetts_cripa_notice_2020,Case Document
Corrections,Massachusetts,https://www.justice.gov/crt/case-document/file/1337871/download,CRIPA Notice Cover Letter (2020),corrections_massachusetts_cripa_notice_cover_letter_2020,Case Document
Corrections,Massachusetts,https://www.justice.gov/crt/case-document/file/1558926/download,Settlement Agreement (2022),corrections_massachusetts_settlement_agreement_2022,Case Document
Corrections,Massachusetts,https://www.justice.gov/media/1289391/dl?inline, Designated Qualified Expert’s Baseline Report (April 2023),corrections_massachusetts_designated_qualified_expert_s_baseline_report_april_2023,Media
Corrections,Massachusetts,https://www.justice.gov/media/1389311/dl,Designated Qualified Expert’s First Report (September 2023),corrections_massachusetts_designated_qualified_expert_s_first_report_september_2023,Media
Corrections,Massachusetts,https://www.justice.gov/media/1392156/dl,Designated Qualified Expert's Second Report (March 2024),corrections_massachusetts_designated_qualified_experts_second_report_march_2024,Media
Corrections,Massachusetts,https://www.justice.gov/media/1395546/dl,Designated Qualified Expert's Third Report (September 2024),corrections_massachusetts_designated_qualified_experts_third_report_september_2024,Media
Corrections,Maryland,https://www.justice.gov/crt/about/spl/documents/baltimore_findings_let.php,Findings Letter (2002),corrections_maryland_findings_letter_2002,NA
Corrections,Maryland,https://www.justice.gov/crt/about/spl/documents/baltimore_detention_center_mou_1-16-07.pdf,MOU (2007),corrections_maryland_mou_2007,PDF
Corrections,Maryland,https://www.justice.gov/crt/about/spl/documents/bcdc_moaextension_4-11-12.pdf,MOA (2012),corrections_maryland_moa_2012,PDF
Corrections,Maryland,https://www.justice.gov/crt/about/spl/documents/bcdc_comp_2-19-15.pdf,Compliance Letter (2015),corrections_maryland_compliance_letter_2015,PDF
Corrections,Mississippi,https://www.justice.gov/crt/about/spl/documents/hinds_findings_5-21-15.pdf,Findings Letter (2015),corrections_mississippi_findings_letter_2015,PDF
Corrections,Mississippi,https://www.justice.gov/crt/case-document/united-states-v-hinds-county-complaint,Complaint (2016),corrections_mississippi_complaint_2016,Case Document
Corrections,Mississippi,https://www.justice.gov/crt/case-document/united-states-v-hinds-county,Settlement Agreement (2016),corrections_mississippi_settlement_agreement_2016,Case Document
Corrections,Mississippi,https://www.justice.gov/crt/case-document/file/1495956/download,Findings Letter (2022),corrections_mississippi_findings_letter_2022,Case Document
Corrections,Mississippi,https://www.justice.gov/crt/case-document/file/1495961/download,Cover Letter (2022),corrections_mississippi_cover_letter_2022,Case Document
Corrections,Mississippi,https://www.justice.gov/media/1219871/dl?inline,Summary of Findings (2022),corrections_mississippi_summary_of_findings_2022,Media
Corrections,Mississippi,https://www.justice.gov/crt/media/1340266/dl?inline,Cover Letter (2024),corrections_mississippi_cover_letter_2024,Media
Corrections,Mississippi,https://www.justice.gov/crt/media/1340191/dl?inline,Findings Report (2024),corrections_mississippi_findings_report_2024,Media
Corrections,Mississippi,https://www.justice.gov/crt/media/1340196/dl?inline,Finding Report One Pager (2024),corrections_mississippi_finding_report_one_pager_2024,Media
Corrections,New Jersey,https://www.justice.gov/crt/case-document/file/1354506/download,CRIPA Notice Cover Letter (2021),corrections_new_jersey_cripa_notice_cover_letter_2021,Case Document
Corrections,New Jersey,https://www.justice.gov/crt/case-document/file/1354491/download,CRIPA Notice (2021),corrections_new_jersey_cripa_notice_2021,Case Document
Corrections,New Jersey,https://www.justice.gov/crt/media/1368591/dl?inline,DOJ Agreement (2023),corrections_new_jersey_doj_agreement_2023,Media
Corrections,New Jersey,https://www.justice.gov/media/1293896/dl?inline,AG Signed Complaint and Certificate (2023),corrections_new_jersey_ag_signed_complaint_and_certificate_2023,Media
Corrections,New Jersey,https://www.justice.gov/crt/page/file/1268421/download,CRIPA Notice Cover Letter,corrections_new_jersey_cripa_notice_cover_letter,NA
Corrections,New Jersey,https://www.justice.gov/crt/page/file/1268416/download,CRIPA Notice (2020),corrections_new_jersey_cripa_notice_2020,NA
Corrections,New Jersey,https://www.justice.gov/crt/case-document/file/1422981/download,AG Signed Complaint and Certificate (2021),corrections_new_jersey_ag_signed_complaint_and_certificate_2021,Case Document
Corrections,New Jersey,https://www.justice.gov/media/1159886/dl?inline,Final Consent Decree (2021),corrections_new_jersey_final_consent_decree_2021,Media
Corrections,New York,https://www.justice.gov/crt/about/spl/documents/Erie_findlet_redact_07-15-09.pdf,Findings Letter (2009),corrections_new_york_findings_letter_2009,PDF
Corrections,New York,https://www.justice.gov/crt/about/spl/documents/US_v_Erie_AmendedComplaint_07-23-10.pdf,Amended Complaint (2010),corrections_new_york_amended_complaint_2010,PDF
Corrections,New York,https://www.justice.gov/crt/about/spl/documents/erie_suicide_mh_settlement_06-18-2010.pdf,Settlement Agreement (2010,corrections_new_york_settlement_agreement_2010,PDF
Corrections,New York,https://www.justice.gov/crt/about/spl/documents/Erie_settle_8-18-11.pdf,Settlement Agreement (2011),corrections_new_york_settlement_agreement_2011,PDF
Corrections,New York,https://www.justice.gov/crt/case-document/file/1587451/download,Court Order (2023),corrections_new_york_court_order_2023,Case Document
Corrections,New York,https://www.justice.gov/crt/about/spl/documents/Westchester_findlet_11-19-09.pdf,Findings Letter (2009),corrections_new_york_findings_letter_2009_2,PDF
Corrections,New York,https://www.justice.gov/crt/case-document/westchester-county-jail-settlement-agreement,Settlement Agreement (2015),corrections_new_york_settlement_agreement_2015,Case Document
Corrections,Ohio,https://www.justice.gov/crt/about/spl/documents/franklin_complaint_11-8-10.pdf,Complaint in Intervention (2010),corrections_ohio_complaint_in_intervention_2010,PDF
Corrections,Ohio,https://www.justice.gov/crt/about/spl/documents/franklin_settle_2-4-11.pdf,Settlement (2011),corrections_ohio_settlement_2011,PDF
Corrections,Oklahoma,https://www.justice.gov/crt/about/spl/documents/OKCounty_Jail_findlet_073108.pdf,Findings Letter (2008),corrections_oklahoma_findings_letter_2008,PDF
Corrections,Oklahoma,https://www.justice.gov/crt/about/spl/documents/OklahomaCountyJail_MOU_11-05-09.pdf,MOU (2009),corrections_oklahoma_mou_2009,PDF
Corrections,Pennsylvania,https://www.justice.gov/crt/about/spl/documents/pdoc_finding_2-24-14.pdf,Findings Letter (2014),corrections_pennsylvania_findings_letter_2014,PDF
Corrections,Pennsylvania,https://www.justice.gov/crt/case-document/pennsylvania-department-corrections-closing-letter,Closing Letter (2016),corrections_pennsylvania_closing_letter_2016,Case Document
Corrections,Pennsylvania,https://www.justice.gov/crt/about/spl/documents/cresson_findings_5-31-13.pdf,Findings Letter (2013),corrections_pennsylvania_findings_letter_2013,PDF
Corrections,Pennsylvania,https://www.justice.gov/crt/about/spl/documents/scip_closingletter_1-8-13.pdf,Closing Letter (2014),corrections_pennsylvania_closing_letter_2014,PDF
Corrections,South Carolina,https://www.justice.gov/media/1384476/dl,Findings Report (2025),corrections_south_carolina_findings_report_2025,Media
Corrections,Tennessee,https://www.justice.gov/crt/about/spl/documents/robertson_co_findlet_8-26-11.pdf,Findings Letter (2011),corrections_tennessee_findings_letter_2011,PDF
Corrections,Tennessee,https://www.justice.gov/crt/about/spl/documents/robertson_complaint_4-26-13.pdf,Complaint (2013),corrections_tennessee_complaint_2013,PDF
Corrections,Tennessee,https://www.justice.gov/crt/about/spl/documents/robertson_agreement_4-30-13.pdf,Settlement Agreement (2013),corrections_tennessee_settlement_agreement_2013,PDF
Corrections,Tennessee,https://www.justice.gov/crt/media/1364606/dl?inline,Notice Letter (2024),corrections_tennessee_notice_letter_2024,Media
Corrections,Texas,https://www.justice.gov/crt/about/spl/documents/dallas_county_findlet_12-8-06.pdf,Findings Letter (2006),corrections_texas_findings_letter_2006,PDF
Corrections,Texas,https://www.justice.gov/crt/about/spl/documents/dallas_county_comp_9-11-07.pdf,Complaint (2007),corrections_texas_complaint_2007,PDF
Corrections,Texas,https://www.justice.gov/crt/about/spl/documents/dallas_county_order_11-06-07.pdf,Settlement (2007),corrections_texas_settlement_2007,PDF
Corrections,Texas,https://www.justice.gov/crt/about/spl/documents/dallas_mou_3-21-12.pdf,MOU (2012),corrections_texas_mou_2012,PDF
Corrections,Texas,https://www.justice.gov/crt/about/spl/documents/harris_county_jail_findlet_060409.pdf,Findings Letter (2009),corrections_texas_findings_letter_2009,PDF
Corrections,Virgin Islands,https://www.justice.gov/crt/about/spl/documents/GoldenGrove_ConsentDecree_12-1-86.pdf,Consent Decree (1986),corrections_virgin_islands_consent_decree_1986,PDF
Corrections,Virgin Islands,https://www.justice.gov/crt/about/spl/documents/goldengrove_settlement_8-31-12.pdf,Settlement Agreement (2013),corrections_virgin_islands_settlement_agreement_2013,PDF
Corrections,Virginia,https://www.justice.gov/crt/case-document/file/1121176/download,CRIPA Notice (2018),corrections_virginia_cripa_notice_2018,Case Document
Corrections,Virginia,https://www.justice.gov/crt/case-document/file/1121181/download,Cover Letter to CRIPA Notice (2018),corrections_virginia_cover_letter_to_cripa_notice_2018,Case Document
Corrections,Virginia,https://www.justice.gov/crt/case-document/file/1393251/download,Consent Decree (2020),corrections_virginia_consent_decree_2020,Case Document
Corrections,Virginia,https://www.justice.gov/crt/case-document/file/1301491/download,Complaint (2020),corrections_virginia_complaint_2020,Case Document
Corrections,Virginia,https://www.justice.gov/crt/case-document/file/1301356/download,Complaint (accessible) (2020),corrections_virginia_complaint_accessible_2020,Case Document
Corrections,Virginia,https://www.justice.gov/media/1131426/dl?inline,Order Approving Consent Decree (2020),corrections_virginia_order_approving_consent_decree_2020,Media
Corrections,Virginia,https://www.justice.gov/crt/media/1363171/dl?inline,Order Dismissing Consent Decree (2024),corrections_virginia_order_dismissing_consent_decree_2024,Media
Corrections,Virginia,https://www.justice.gov/crt/about/spl/documents/piedmont_findings_9-6-12.pdf,Findings Letter (2012),corrections_virginia_findings_letter_2012,PDF
Corrections,Virginia,https://www.justice.gov/crt/about/spl/documents/piedmont_complaint_9-20-13.pdf,Complaint (2013),corrections_virginia_complaint_2013,PDF
Corrections,Virginia,https://www.justice.gov/crt/about/spl/documents/piedmont_agreement_9-20-13.pdf,Settlement Agreement (2013),corrections_virginia_settlement_agreement_2013,PDF
Corrections,Virginia,https://www.justice.gov/crt/about/spl/documents/piedmont_order_10-1-13.pdf,Order Approving Agreement (2013),corrections_virginia_order_approving_agreement_2013,PDF
Juvenile Justice,California,https://www.justice.gov/crt/about/spl/documents/contracosta_soi_2-13-14.pdf,Statement of Interest (2014),juvenile_justice_california_statement_of_interest_2014,PDF
Juvenile Justice,California,https://www.justice.gov/crt/about/spl/documents/lacamps_findings_10-31-08.pdf,Findings Letter (2008),juvenile_justice_california_findings_letter_2008,PDF
Juvenile Justice,California,https://www.justice.gov/crt/about/spl/documents/lacamps_moa.pdf,MOA (2008),juvenile_justice_california_moa_2008,PDF
Juvenile Justice,California,https://www.justice.gov/crt/about/spl/documents/lacamps_moa_amend1_03-29-10.pdf,First Amendment to MOA (2010),juvenile_justice_california_first_amendment_to_moa_2010,PDF
Juvenile Justice,California,https://www.justice.gov/crt/about/spl/documents/lacamps_secondMOA_10-12-12.pdf,Second Amendment to MOA (2012),juvenile_justice_california_second_amendment_to_moa_2012,PDF
Juvenile Justice,Connecticut,https://www.justice.gov/media/1182106/dl?inline,Findings Report (2021),juvenile_justice_connecticut_findings_report_2021,Media
Juvenile Justice,Connecticut,https://www.justice.gov/crt/media/1365966/dl?inline,Settlement Agreement (2024),juvenile_justice_connecticut_settlement_agreement_2024,Media
Juvenile Justice,Delaware,https://www.justice.gov/crt/media/1370216/dl?inline,Statement of Interest (2024),juvenile_justice_delaware_statement_of_interest_2024,Media
Juvenile Justice,District of Columbia,https://www.justice.gov/media/1146571/dl?inline,Statement of Interest (2021),juvenile_justice_district_of_columbia_statement_of_interest_2021,Media
Juvenile Justice,Florida,https://www.justice.gov/crt/case-document/file/1113021/download,Statement of Interest (2018),juvenile_justice_florida_statement_of_interest_2018,Case Document
Juvenile Justice,Florida,https://justice.gov/crt/case-document/file/1210626/download,Complaint (2018),juvenile_justice_florida_complaint_2018,Case Document
Juvenile Justice,Florida,https://www.justice.gov/media/1029541/dl?inline,Settlement Agreement (2018),juvenile_justice_florida_settlement_agreement_2018,Media
Juvenile Justice,Georgia,https://www.justice.gov/crt/about/spl/documents/np_soi_3-13-15.pdf,Statement of Interest (2015),juvenile_justice_georgia_statement_of_interest_2015,PDF
Juvenile Justice,Indiana,https://www.justice.gov/crt/about/spl/documents/Indianapolis_findlet_01-29-10.pdf,"Findings Letter (2010, Indianapolis Juvenile Correctional Facility)",juvenile_justice_indiana_findings_letter_2010_indianapolis_juvenile_correctional_facility,PDF
Juvenile Justice,Indiana,https://www.justice.gov/crt/about/spl/documents/pendleton_findings_8-22-12.pdf,"Findings Letter (2012, Pendleton Juvenile Correctional Facility)",juvenile_justice_indiana_findings_letter_2012_pendleton_juvenile_correctional_facility,PDF
Juvenile Justice,Indiana,https://www.justice.gov/media/1123076/dl?inline,"Closing Letter (2017, Pendleton Juvenile Correctional Facility)",juvenile_justice_indiana_closing_letter_2017_pendleton_juvenile_correctional_facility,Media
Juvenile Justice,Illinois,https://www.justice.gov/crt/media/1374881/dl?inline,Statement of Interest (2024),juvenile_justice_illinois_statement_of_interest_2024,Media
Juvenile Justice,Kentucky,https://www.justice.gov/crt/media/1352236/dl?inline,Notice Letter (2024),juvenile_justice_kentucky_notice_letter_2024,Media
Juvenile Justice,Kentucky,https://www.justice.gov/media/798056/dl?inline=,Statement of Interest (2015),juvenile_justice_kentucky_statement_of_interest_2015,Media
Juvenile Justice,Kentucky,https://www.justice.gov/crt/case-document/file/1210126/download,Order on Motion to Dismiss (2015),juvenile_justice_kentucky_order_on_motion_to_dismiss_2015,Case Document
Juvenile Justice,Kentucky,https://www.justice.gov/crt/case-document/file/1210141/download,Opinion on Summary Judgement (2017),juvenile_justice_kentucky_opinion_on_summary_judgement_2017,Case Document
Juvenile Justice,Kentucky,https://www.justice.gov/media/1029201/dl?inline,Final Order (2018),juvenile_justice_kentucky_final_order_2018,Media
Juvenile Justice,Louisiana,https://www.justice.gov/d9/2023-08/183._statement_of_interest_of_united_states_004_2f.pdf,Statement of Interest (2023),juvenile_justice_louisiana_statement_of_interest_2023,PDF
Juvenile Justice,Michigan,https://www.justice.gov/crt/about/spl/documents/doe_soi_3-20-14.pdf,Statement of Interest (2014),juvenile_justice_michigan_statement_of_interest_2014,PDF
Juvenile Justice,Mississippi,https://www.justice.gov/crt/about/spl/documents/meridian_findletter_8-10-12.pdf,Findings Letter (2012),juvenile_justice_mississippi_findings_letter_2012,PDF
Juvenile Justice,Mississippi,https://www.justice.gov/crt/about/spl/documents/meridian_complaint_10-24-12.pdf,Complaint (2012),juvenile_justice_mississippi_complaint_2012,PDF
Juvenile Justice,Mississippi,http://www.justice.gov/crt/file/778016/download,City Settlement Agreement (2015),juvenile_justice_mississippi_city_settlement_agreement_2015,NA
Juvenile Justice,Mississippi,http://www.justice.gov/crt/file/778001/download,State Settlement Agreement (2015),juvenile_justice_mississippi_state_settlement_agreement_2015,NA
Juvenile Justice,Mississippi,https://www.justice.gov/justice.gov/crt/case-document/file/1209666/download,District Court Order on Motion to Dismiss Youth Court Judges and Lauderdale County (2017),juvenile_justice_mississippi_district_court_order_on_motion_to_dismiss_youth_court_judges_and_lauderdale_county_2017,Case Document
Juvenile Justice,Mississippi,https://www.justice.gov/media/1028716/dl?inline,Fifth Circuit Court of Appeals Decision (2019),juvenile_justice_mississippi_fifth_circuit_court_of_appeals_decision_2019,Media
Juvenile Justice,Mississippi,https://www.justice.gov/crt/about/spl/documents/LeFloreJDC_findlet_03-31-11.pdf,Findings Letter (2011),juvenile_justice_mississippi_findings_letter_2011,PDF
